date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:34:47	14361/14361	---M--	200	added ('OK')	application/x-javascript	etag:%223819-5e9e2be70d6a6%22	https://soziety.dexignzone.com/xhtml/assets/js/custom.js	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/js/custom.js	(from https://soziety.dexignzone.com/xhtml/welcome.html)
15:34:47	89220/89220	---M--	200	added ('OK')	text/css	etag:%2215c84-5d793bdadc680%22	https://soziety.dexignzone.com/xhtml/assets/vendor/fontawesome/css/all.min.css	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/fontawesome/css/all.min.css	(from https://soziety.dexignzone.com/xhtml/assets/css/style.css)
15:34:47	2706/2706	---M--	200	added ('OK')	text/css	etag:%22a92-5df2fc4b1d900%22	https://soziety.dexignzone.com/xhtml/assets/vendor/flaticon/flaticon.css	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/flaticon/flaticon.css	(from https://soziety.dexignzone.com/xhtml/assets/css/style.css)
15:34:48	57344/57344	---M--	200	added ('OK')	text/css	etag:%22e000-5dfcd48aadc00%22	https://soziety.dexignzone.com/xhtml/assets/vendor/uicons-solid-rounded/css/uicons-solid-rounded.css	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/uicons-solid-rounded/css/uicons-solid-rounded.css	(from https://soziety.dexignzone.com/xhtml/assets/css/style.css)
15:34:48	89729/89729	---M--	200	added ('OK')	text/css	etag:%2215e81-596bbc4103300%22	https://soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/css/line-awesome.min.css	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/css/line-awesome.min.css	(from https://soziety.dexignzone.com/xhtml/assets/css/style.css)
15:34:48	17527/17527	---M--	200	added ('OK')	text/css	etag:%224477-58dd9fd247d80%22	https://soziety.dexignzone.com/xhtml/assets/vendor/themify-icons/css/themify-icons.css	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/themify-icons/css/themify-icons.css	(from https://soziety.dexignzone.com/xhtml/assets/css/style.css)
15:34:48	6345/6345	---M--	200	added ('OK')	image/png	etag:%2218c9-5e9e2be16bc6b%22	https://soziety.dexignzone.com/xhtml/assets/images/bg-shape-dark.png	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/images/bg-shape-dark.png	(from https://soziety.dexignzone.com/xhtml/assets/css/style.css)
15:34:49	231/231	---M--	302	error ('Found')	text/html	date:Sun,%2026%20Feb%202023%2010:04:48%20GMT	https://soziety.dexignzone.com/xhtml/assets/images/bg-shape.jpg	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/images/bg-shape.jpg	(from https://soziety.dexignzone.com/xhtml/assets/css/style.css)
15:34:49	8037/8037	---M-Z	200	added ('OK')	text/html	etag:%221f65-5e9e2a9140df1-gzip%22	https://soziety.dexignzone.com/xhtml/error.html	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/error.html	(from https://soziety.dexignzone.com/xhtml/assets/css/style.css)
15:34:50	6793/6793	---M--	200	added ('OK')	image/png	etag:%221a89-5e9e2be16c43b%22	https://soziety.dexignzone.com/xhtml/assets/images/bg-shape.png	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/images/bg-shape.png	(from https://soziety.dexignzone.com/xhtml/assets/css/style.css)
15:34:51	313239/313239	---M--	200	added ('OK')	image/jpeg	etag:%224c797-5e9e2bfebc99e%22	https://soziety.dexignzone.com/xhtml/assets/images/login/pic3.jpg	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/images/login/pic3.jpg	(from https://soziety.dexignzone.com/xhtml/register.html)
15:34:51	263080/263080	---M--	200	added ('OK')	image/jpeg	etag:%22403a8-5e9e2bfec3316%22	https://soziety.dexignzone.com/xhtml/assets/images/login/pic4.jpg	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/images/login/pic4.jpg	(from https://soziety.dexignzone.com/xhtml/login.html)
